Product Title,SKU #,UPC,Whole Sale Price Per Unit
WHOLESALE SCARF HANGERS - ASSORTED COLORS,SKU #1935502 ,,$3.21 
WHOLESALE JETSETTER FOLDABLE SUNGLASSES,SKU #1777670 ,UPC: 722950238493,$4.95 
WHOLESALE SCARF HANGER ORGANIZER / SPACE SAVER,SKU #1935504 ,,$3.21 
WHOLESALE STRIPED SHEER SCARVES - NEUTRAL COLORS,SKU #1933907 ,UPC: 722950271131,$2.10 
WHOLESALE LAVELLO FLEXISCARF VERSATILE RUFFLED SCARF,SKU #1946470 ,UPC: 722950275429,$2.58 
WHOLESALE LAVELLO FLEXISCARF VERSATILE RUFFLED SCARF - ASSORTED,SKU #1946468 ,UPC: 722950275412,$2.58 
WHOLESALE SIZZLE SHADES KIDS SUNGLASSES,SKU #1258279 ,UPC: 722950228272,$1.97 
WHOLESALE RAIN PONCHOS,SKU #1903939 ,UPC: 049392079812,$0.57 
WHOLESALE NEON RUBBER SUNGLASSES,SKU #1895082 ,UPC: 049392610428,$0.60 
WHOLESALE SEEVIX VALUE READERS ASSORTED STYLES & DIOPTERS,SKU #1917649 ,UPC: 030968030023,$0.81 
WHOLESALE NEON BANDANAS,SKU #1903837 ,UPC: 049392628409,$0.55 
WHOLESALE SOLARFLAIR VALUE SUNGLASSES ASSORTED,SKU #1917650 ,UPC: 030968025005,$0.89 
WHOLESALE RED BANDANAS,SKU #1903943 ,UPC: 049392680025,$0.55 
WHOLESALE BANDANAS - WHITE,SKU #1904803 ,UPC: 049392605691,$0.55 
WHOLESALE ASSORTED BANDANAS,SKU #2127689 ,UPC: 856434012030,$1.05 
WHOLESALE RAIN PONCHO - ONE SIZE FITS ALL,SKU #1875885 ,UPC: 097958007007,$0.95 
WHOLESALE AMERICAN FLAG PATTERN BANDANAS,SKU #1903536 ,UPC: 049392616833,$0.55 
"WHOLESALE 43"" TWO-FOLD UMBRELLA",SKU #2134164 ,UPC: 8276809005917,$2.99 
WHOLESALE STRAW SUN BONNET,SKU #1932249 ,UPC: 085754168527,$2.42 
WHOLESALE NEON PLASTIC VISORS,SKU #1776479 ,UPC: 049392606032,$0.37 
WHOLESALE FOAM VISORS,SKU #1776480 ,UPC: 049392611456,$0.38 
WHOLESALE READING GLASSES,SKU #678620 ,,$1.30 
WHOLESALE BULK MINI UMBRELLA,SKU #1266926 ,,$3.20 
WHOLESALE BULK FOLDING UMBRELLA,SKU #1982900 ,UPC: 856434014225,$3.79 
WHOLESALE FOLDING UMBRELLA,SKU #1933756 ,UPC: 097958050225,$2.59 
WHOLESALE CASUAL OUTFITTERS 10 PIECE SHAPEABLE HAT SET,SKU #432495 ,UPC: 024409942570,$10.70 
WHOLESALE FOSTER GRANT SUNGLASSES,SKU #1940296 ,,$1.50 
WHOLESALE ALL-WEATHER WATERPROOF PONCHO,SKU #704158 ,UPC: 024409981203,
WHOLESALE WOVEN COWBOY FASHION HAT WITH NECK CORD,SKU #1949341 ,UPC: 731015232260,$2.25 
WHOLESALE KID'S POLAR FLEECE GLOVES,SKU #1981308 ,UPC: 856434012597,$1.45 
WHOLESALE MEN'S POLAR FLEECE GLOVES,SKU #1981305 ,UPC: 856434001218,$1.45 
WHOLESALE WOMEN'S POLAR FLEECE GLOVES,SKU #1981303 ,UPC: 856434012603,$1.45 
WHOLESALE DEZIGNER ALTERNATIVES BULK SUNGLASSES,SKU #673510 ,,$1.86 
WHOLESALE LARGE STRAW HAT LIFEGUARD STYLE 20 INCH,SKU #1997873 ,,$5.20 
WHOLESALE ASSORTED SUNGLASSES,SKU #49895 ,,$0.95 
WHOLESALE RAINCOAT WITH POCKET,SKU #102367 ,,$0.60 
WHOLESALE BLACK & WHITE HAIR BANDS SET,SKU #113636 ,UPC: 731015054589,$0.87 
WHOLESALE LADY'S WOVEN SUN HAT,SKU #1776474 ,UPC: 049392106228,$2.43 
WHOLESALE CLOSEOUT FLORAL PRINTED UMBRELLAS,SKU #1782145 ,,$3.15 
WHOLESALE DIAMOND PLATE ASSORTED COTTON SKULL CAPS,SKU #704180 ,UPC: 024409937965,$1.91 
"WHOLESALE ALL-WEATHER 24 PIECE 42"" UMBRELLAS IN COUNTERTOP DISPLAY",SKU #378436 ,UPC: 024409056994,$3.21 
WHOLESALE NATURAL STRAW FEDORA HAT,SKU #1917157 ,,$2.35 
WHOLESALE PRINT SCARVES,SKU #673527 ,,$0.90 
WHOLESALE ADULT MAGIC STRETCH GLOVES,SKU #183006 ,UPC: 701953047035,$0.78 
WHOLESALE BROWN PLAIN BELT - ASSORTED SIZES,SKU #1793256 ,,$1.77 
WHOLESALE HEAT FACTORY MINI HAND WARMER,SKU #915540 ,UPC: 037137195323,$1.15 
WHOLESALE OPTI-KA-ZOO KIDS SUNGLASSES,SKU #1258278 ,UPC: 722950203767,$1.98 
WHOLESALE LADIES STRAW HAT WITH RIBBON,SKU #1940264 ,UPC: 085754168497,$1.67 
WHOLESALE NYLON PLAID FOLDING UMBRELLA,SKU #208211 ,UPC: 731015054299,$3.91 
WHOLESALE WOMAN'S SUMMER HAT WITH POLKA DOT BOW,SKU #1863346 ,,$1.75 
WHOLESALE MENS CAMOUFLAGE BUCKET HAT,SKU #1917232 ,,$1.96 
WHOLESALE READING GLASSES - MENS,SKU #681720 ,,$1.30 
WHOLESALE TRANSLUCENT READING GLASSES COUNTERTOP DISPLAY,SKU #789960 ,UPC: 731015162437,$1.06 
WHOLESALE PLAIN ASSORTED COLOR FEDORA HAT,SKU #1875521 ,,$2.64 
WHOLESALE CASUAL OUTFITTERS ASSORTED WOMEN'S' FLOPPY SUN HATS,SKU #1224940 ,UPC: 024409975974,$4.90 
WHOLESALE CREATIVE COLORS ADULT RAIN PONCHO,SKU #1996223 ,UPC: 619342104071,$0.67 
WHOLESALE LOLLIBANDS HAIRBANDS,SKU #1221563 ,UPC: 722950227244,$1.28 
WHOLESALE REBEL SPORT POLARIZED SUNGLASSES,SKU #1893841 ,,$4.90 
WHOLESALE METAL FRAME SUNGLASSES,SKU #790624 ,,$0.85 
WHOLESALE SUNGLASSES,SKU #790600 ,,$0.86 
WHOLESALE READING GLASSES,SKU #49897 ,,$1.05 
